street_number,actual_street_name,Suburb,Borough,County,london_region,region,year,tenure_type,leasehold_unexpired_term,value,ground_rent_inpounds,rent_yearly_inpounds,years_purchase
27,TUNLEY ROAD,BALHAM,Wandswo,Greater London,INNER,Greater London,1903,LEASEHOLD,93,775,10,56,13.83928571
336,BALHAM HIGH ROAD,BALHAM,Wandswo,Greater London,INNER,Greater London,1904,FREEHOLD,999,750,,,
56,BELLAMY STREET,BALHAM,Wandswo,Greater London,INNER,Greater London,1904,FREEHOLD,999,390,,28,13.92857143
119,BROOMWOOD ROAD,BALHAM,Wandswo,Greater London,INNER,Greater London,1904,LEASEHOLD,75,350,7.35,41,8.536585366
26,CORNFORD GROVE,BALHAM,Wandswo,Greater London,INNER,Greater London,1904,LEASEHOLD,70,360,8,42,8.571428571
45,CULVERDEN ROAD,BALHAM,Wandswo,Greater London,INNER,Greater London,1904,LEASEHOLD,72,450,10,60,7.5
18,ENDLESHAM ROAD,BALHAM,Wandswo,Greater London,INNER,Greater London,1904,FREEHOLD,999,1060,,75,14.13333333
87,FERNLEA ROAD,BALHAM,Wandswo,Greater London,INNER,Greater London,1904,LEASEHOLD,69,250,6.3,32,7.8125
39,GASKARTH ROAD,BALHAM,Wandswo,Greater London,INNER,Greater London,1904,LEASEHOLD,87,375,5.75,36,10.41666667
30,OLDRIDGE ROAD,BALHAM,Wandswo,Greater London,INNER,Greater London,1904,FREEHOLD,999,450,,20,22.5
21,OLD PARK AVENUE,BALHAM,Wandswo,Greater London,INNER,Greater London,1904,LEASEHOLD,84,555,10.5,,
9,ALTHORP ROAD,BALHAM,Wandswo,Greater London,INNER,Greater London,1905,FREEHOLD,999,675,,48,14.0625
16,BASKERVILLE ROAD,BALHAM,Wandswo,Greater London,INNER,Greater London,1905,LEASEHOLD,74,850,15.75,,
71,ENDLESHAM ROAD,BALHAM,Wandswo,Greater London,INNER,Greater London,1905,LEASEHOLD,,380,8,48,7.916666667
50,FERNLEA ROAD,BALHAM,Wandswo,Greater London,INNER,Greater London,1905,LEASEHOLD,59,250,7.35,53.3,4.69043152
1,HARBERSON ROAD,BALHAM,Wandswo,Greater London,INNER,Greater London,1905,LEASEHOLD,80,215,5.25,36.4,5.906593407
75,LOUISVILLE ROAD,BALHAM,Wandswo,Greater London,INNER,Greater London,1905,LEASEHOLD,85,420,6.5,42,10
64,ROSSITER ROAD,BALHAM,Wandswo,Greater London,INNER,Greater London,1905,LEASEHOLD,68,170,9.45,32,5.3125
4,RYDE VALE ROAD,BALHAM,Wandswo,Greater London,INNER,Greater London,1905,LEASEHOLD,69,600,15,80,7.5
95,ST. JAMES' ROAD,BALHAM,Wandswo,Greater London,INNER,Greater London,1905,FREEHOLD,999,760,,40,19
101,ST. JAMES' ROAD,BALHAM,Wandswo,Greater London,INNER,Greater London,1905,FREEHOLD,999,450,,40,11.25
4,BASKERVILLE ROAD,BALHAM,Wandswo,Greater London,INNER,Greater London,1906,LEASEHOLD,73,620,12,60,10.33333333
116,BEDFORD HILL,BALHAM,Wandswo,Greater London,INNER,Greater London,1906,LEASEHOLD,69,380,14.7,42,9.047619048
68,CATHLES ROAD,BALHAM,Wandswo,Greater London,INNER,Greater London,1906,LEASEHOLD,85,290,6.5,32,9.0625
42,ENDLESHAM ROAD,BALHAM,Wandswo,Greater London,INNER,Greater London,1906,FREEHOLD,999,950,,60,15.83333333
12,HENDERSON ROAD,BALHAM,Wandswo,Greater London,INNER,Greater London,1906,LEASEHOLD,81,400,10,40,10
34,RAVENSLEA ROAD,BALHAM,Wandswo,Greater London,INNER,Greater London,1906,LEASEHOLD,93,350,7.5,40,8.75
54,TANTALLON ROAD,BALHAM,Wandswo,Greater London,INNER,Greater London,1906,LEASEHOLD,93,340,7.5,36,9.444444444
37,BALHAM PARK ROAD,BALHAM,Wandswo,Greater London,INNER,Greater London,1907,LEASEHOLD,67,320,12,45,7.111111111
114,BRAMFIELD ROAD,BALHAM,Wandswo,Greater London,INNER,Greater London,1907,LEASEHOLD,72,365,7,38,9.605263158
30,BRODRICK ROAD,BALHAM,Wandswo,Greater London,INNER,Greater London,1907,LEASEHOLD,64,315,8,40,7.875
43,BYRNE ROAD,BALHAM,Wandswo,Greater London,INNER,Greater London,1907,LEASEHOLD,58,300,7.5,36,8.333333333
69,BYRNE ROAD,BALHAM,Wandswo,Greater London,INNER,Greater London,1907,LEASEHOLD,67,255,7.5,46.8,5.448717949
7,CORNFORD GROVE,BALHAM,Wandswo,Greater London,INNER,Greater London,1907,LEASEHOLD,67,380,7.5,40,9.5
37,DORNTON ROAD,BALHAM,Wandswo,Greater London,INNER,Greater London,1907,LEASEHOLD,65,385,7.5,40,9.625
26,ENDLESHAM ROAD,BALHAM,Wandswo,Greater London,INNER,Greater London,1907,LEASEHOLD,61,330,8,38,8.684210526
23,FERNSIDE ROAD,BALHAM,Wandswo,Greater London,INNER,Greater London,1907,LEASEHOLD,92,380,7,38,10
25,FONTENOY ROAD,BALHAM,Wandswo,Greater London,INNER,Greater London,1907,LEASEHOLD,80,450,9,45,10
10,MARIUS ROAD,BALHAM,Wandswo,Greater London,INNER,Greater London,1907,LEASEHOLD,80,538,9,55,9.781818182
22,PATTEN ROAD,BALHAM,Wandswo,Greater London,INNER,Greater London,1907,LEASEHOLD,72,625,10.25,60,10.41666667
97,RAMSDEN ROAD,BALHAM,Wandswo,Greater London,INNER,Greater London,1907,FREEHOLD,999,500,,36,13.88888889
98,RAMSDEN ROAD,BALHAM,Wandswo,Greater London,INNER,Greater London,1907,LEASEHOLD,66,490,6,45,10.88888889
37,RAMSDEN ROAD,BALHAM,Wandswo,Greater London,INNER,Greater London,1907,FREEHOLD,999,500,,40,12.5
25,RAVENSLEA ROAD,BALHAM,Wandswo,Greater London,INNER,Greater London,1907,LEASEHOLD,92,475,7.5,38,12.5
9,STREATHBOURNE ROAD,BALHAM,Wandswo,Greater London,INNER,Greater London,1907,LEASEHOLD,83,630,9.5,70,9
35,TANTALLON ROAD,BALHAM,Wandswo,Greater London,INNER,Greater London,1907,LEASEHOLD,92,380,7,38,10
30,THURLEIGH ROAD,BALHAM,Wandswo,Greater London,INNER,Greater London,1907,LEASEHOLD,80,500,9.75,60,8.333333333
232,TRINITY ROAD,BALHAM,Wandswo,Greater London,INNER,Greater London,1907,LEASEHOLD,72,330,8,35,9.428571429
12,BALHAM PARK ROAD,BALHAM,Wandswo,Greater London,INNER,Greater London,1910,LEASEHOLD,25,450,,60,7.5
1,NICOSIA ROAD,BALHAM,Wandswo,Greater London,INNER,Greater London,1910,LEASEHOLD,69,425,9,50,8.5
3,RAVENSLEA ROAD,BALHAM,Wandswo,Greater London,INNER,Greater London,1910,FREEHOLD,999,1000,,75,13.33333333
7,RUSHAM ROAD,BALHAM,Wandswo,Greater London,INNER,Greater London,1910,FREEHOLD,999,1100,,75,14.66666667
9,RUSHAM ROAD,BALHAM,Wandswo,Greater London,INNER,Greater London,1910,FREEHOLD,999,600,,,
21,SAINFOIN ROAD,BALHAM,Wandswo,Greater London,INNER,Greater London,1910,LEASEHOLD,80,305,6.5,,
10,SHIPKA ROAD,BALHAM,Wandswo,Greater London,INNER,Greater London,1910,LEASEHOLD,67,150,7.5,,
7,SHIPKA ROAD,BALHAM,Wandswo,Greater London,INNER,Greater London,1910,LEASEHOLD,67,200,7,30,6.666666667
51,TANTALLON ROAD,BALHAM,Wandswo,Greater London,INNER,Greater London,1910,LEASEHOLD,89,315,7,38,8.289473684
