street_number,actual_street_name,Suburb,Borough,County,london_region,region,year,tenure_type,leasehold_unexpired_term,value,ground_rent_inpounds,rent_yearly_inpounds,years_purchase
71,SOTHEBY ROAD,HIGHBURY,Islingt,Greater London,INNER,Greater London,1903,LEASEHOLD,78,700,10.5,60,11.66666667
57,WITHERINGTON ROAD,HIGHBURY,Islingt,Greater London,INNER,Greater London,1903,LEASEHOLD,81,500,8.125,48,10.41666667
21,ALBERT STREET,HIGHBURY,Islingt,Greater London,INNER,Greater London,1904,LEASEHOLD,43,285,6,38,7.5
1,AUBERT PARK (STABLING),HIGHBURY,Islingt,Greater London,INNER,Greater London,1904,LEASEHOLD,,5,,35,0.142857143
205,BLACKSTOCK ROAD,HIGHBURY,Islingt,Greater London,INNER,Greater London,1904,LEASEHOLD,66,400,10,,
15,BALFOUR ROAD,HIGHBURY,Islingt,Greater London,INNER,Greater London,1904,LEASEHOLD,46,475,6.3,50,9.5
37,BALFOUR ROAD,HIGHBURY,Islingt,Greater London,INNER,Greater London,1904,LEASEHOLD,45,425,6.3,46,9.239130435
227,BLACKSTOCK ROAD,HIGHBURY,Islingt,Greater London,INNER,Greater London,1904,LEASEHOLD,66,770,8.4,65,11.84615385
4,CRANE GROVE,HIGHBURY,Islingt,Greater London,INNER,Greater London,1904,LEASEHOLD,46,350,4,40,8.75
9,CRANE GROVE,HIGHBURY,Islingt,Greater London,INNER,Greater London,1904,LEASEHOLD,28,235,3.5,35,6.714285714
11,COMPTON ROAD,HIGHBURY,Islingt,Greater London,INNER,Greater London,1904,LEASEHOLD,41,640,,60,10.66666667
18,FRAMFIELD ROAD,HIGHBURY,Islingt,Greater London,INNER,Greater London,1904,LEASEHOLD,90,420,8,48,8.75
115,GREEN LANES,HIGHBURY,Islingt,Greater London,INNER,Greater London,1904,LEASEHOLD,45,730,16,100,7.3
23,HIGHBURY GROVE,HIGHBURY,Islingt,Greater London,INNER,Greater London,1904,FREEHOLD,999,1110,,85,13.05882353
35,HIGHBURY CRESCENT WEST,HIGHBURY,Islingt,Greater London,INNER,Greater London,1904,LEASEHOLD,81,390,8.925,48,8.125
37,HIGHBURY NEW PARK,HIGHBURY,Islingt,Greater London,INNER,Greater London,1904,LEASEHOLD,46,850,15,,
42,HIGHBURY NEW PARK,HIGHBURY,Islingt,Greater London,INNER,Greater London,1904,LEASEHOLD,45,600,0.5,105,5.714285714
65,HIGHBURY NEW PARK,HIGHBURY,Islingt,Greater London,INNER,Greater London,1904,LEASEHOLD,45,810,15,120,6.75
123,HIGHBURY NEW PARK,HIGHBURY,Islingt,Greater London,INNER,Greater London,1904,LEASEHOLD,45,760,10.5,,
165,HIGHBURY NEW PARK,HIGHBURY,Islingt,Greater London,INNER,Greater London,1904,LEASEHOLD,45,790,15,,
117,HIGHBURY NEW PARK,HIGHBURY,Islingt,Greater London,INNER,Greater London,1904,LEASEHOLD,45,495,8.5,80,6.1875
12,HIGHBURY TERRACE,HIGHBURY,Islingt,Greater London,INNER,Greater London,1904,FREEHOLD,999,825,,77,10.71428571
43,LIBERIA ROAD,HIGHBURY,Islingt,Greater London,INNER,Greater London,1904,LEASEHOLD,84,410,7.5,44,9.318181818
28,WILLESDEN LANE,HIGHBURY,Islingt,Greater London,INNER,Greater London,1904,LEASEHOLD,89,555,14.7,70,7.928571429
47,ABERDEEN PARK,HIGHBURY,Islingt,Greater London,INNER,Greater London,1905,LEASEHOLD,71,1000,20,110,9.090909091
186,BLACKSTOCK ROAD,HIGHBURY,Islingt,Greater London,INNER,Greater London,1905,LEASEHOLD,65,360,10,50,7.2
56,HIGHBURY GROVE,HIGHBURY,Islingt,Greater London,INNER,Greater London,1905,LEASEHOLD,86,1050,12,85,12.35294118
188,HIGHBURY HILL,HIGHBURY,Islingt,Greater London,INNER,Greater London,1905,LEASEHOLD,72,330,6,28,11.78571429
14a,HIGHBURY PLACE,HIGHBURY,Islingt,Greater London,INNER,Greater London,1905,LEASEHOLD,,2130,,125,17.04
15,HIGHBURY PLACE,HIGHBURY,Islingt,Greater London,INNER,Greater London,1905,LEASEHOLD,,2180,,125,17.44
95,HIGHBURY NEW PARK,HIGHBURY,Islingt,Greater London,INNER,Greater London,1905,LEASEHOLD,44,650,9,80,8.125
123,HIGHBURY NEW PARK,HIGHBURY,Islingt,Greater London,INNER,Greater London,1905,LEASEHOLD,45,820,10.5,,
182,HIGHBURY NEW PARK,HIGHBURY,Islingt,Greater London,INNER,Greater London,1905,LEASEHOLD,44,375,15,75,5
15,MENTONE ROAD,HIGHBURY,Islingt,Greater London,INNER,Greater London,1905,LEASEHOLD,59,500,7,,
10,MYRTLE STREET,HIGHBURY,Islingt,Greater London,INNER,Greater London,1905,FREEHOLD,999,325,,23.4,13.88888889
76,RIVERSDALE ROAD,HIGHBURY,Islingt,Greater London,INNER,Greater London,1905,LEASEHOLD,65,435,6.3,36,12.08333333
137,RIVERSDALE ROAD,HIGHBURY,Islingt,Greater London,INNER,Greater London,1905,FREEHOLD,999,460,,48,9.583333333
27,STAVORDALE ROAD,HIGHBURY,Islingt,Greater London,INNER,Greater London,1905,LEASEHOLD,70,340,8,40,8.5
8,STAVORDALE ROAD,HIGHBURY,Islingt,Greater London,INNER,Greater London,1905,LEASEHOLD,71,470,8,,
68,AUBERT PARK,HIGHBURY,Islingt,Greater London,INNER,Greater London,1906,LEASEHOLD,70,500,7,48,10.41666667
54,AVENELL ROAD,HIGHBURY,Islingt,Greater London,INNER,Greater London,1906,LEASEHOLD,72,410,7.5,42,9.761904762
30,ELWOOD STREET,HIGHBURY,Islingt,Greater London,INNER,Greater London,1906,FREEHOLD,999,320,,24,13.33333333
8,HIGHBURY HILL,HIGHBURY,Islingt,Greater London,INNER,Greater London,1906,COPYHOLD,999,1470,,110,13.36363636
12,HIGHBURY NEW PARK,HIGHBURY,Islingt,Greater London,INNER,Greater London,1906,LEASEHOLD,43,450,15,100,4.5
27,NORTHOLME ROAD,HIGHBURY,Islingt,Greater London,INNER,Greater London,1906,LEASEHOLD,82,490,7.5,,
41,ABERDEEN ROAD,HIGHBURY,Islingt,Greater London,INNER,Greater London,1907,LEASEHOLD,50,420,9,52.5,8
70,AUBERT PARK,HIGHBURY,Islingt,Greater London,INNER,Greater London,1907,LEASEHOLD,69,265,7,40,6.625
107,BALFOUR ROAD,HIGHBURY,Islingt,Greater London,INNER,Greater London,1907,LEASEHOLD,42,355,6.3,45,7.888888889
30,CANNING ROAD,HIGHBURY,Islingt,Greater London,INNER,Greater London,1907,LEASEHOLD,63,185,5.25,28,6.607142857
110,GROSVENOR ROAD,HIGHBURY,Islingt,Greater London,INNER,Greater London,1907,LEASEHOLD,42,400,11,80,5
10,HIGHBURY NEW PARK,HIGHBURY,Islingt,Greater London,INNER,Greater London,1907,LEASEHOLD,42,550,15,,
113,HIGHBURY QUADRANT,HIGHBURY,Islingt,Greater London,INNER,Greater London,1907,LEASEHOLD,42,400,15,72.5,5.517241379
14,HORSELL ROAD,HIGHBURY,Islingt,Greater London,INNER,Greater London,1907,LEASEHOLD,78,250,7.425,38,6.578947368
1,MOUNTGROVE ROAD,HIGHBURY,Islingt,Greater London,INNER,Greater London,1907,LEASEHOLD,63,335,6.3,40,8.375
109,RIVERSDALE ROAD,HIGHBURY,Islingt,Greater London,INNER,Greater London,1907,FREEHOLD,999,400,,30,13.33333333
39,RIVERSDALE ROAD,HIGHBURY,Islingt,Greater London,INNER,Greater London,1907,LEASEHOLD,63,270,7,36,7.5
3,ROSELEIGH AVENUE,HIGHBURY,Islingt,Greater London,INNER,Greater London,1907,LEASEHOLD,72,490,8.4,52,9.423076923
268,ST. PAUL'S ROAD,HIGHBURY,Islingt,Greater London,INNER,Greater London,1907,LEASEHOLD,41,440,10,75.4,5.835543767
18,ABERDEEN ROAD,HIGHBURY,Islingt,Greater London,INNER,Greater London,1910,LEASEHOLD,,315,,45,7
13,BATTLEDESN ROAD,HIGHBURY,Islingt,Greater London,INNER,Greater London,1910,LEASEHOLD,75,275,8.1,42,6.547619048
235,BLACKSTOCK ROAD,HIGHBURY,Islingt,Greater London,INNER,Greater London,1910,LEASEHOLD,60,200,8.4,,
18,BRYANTWOOD ROAD,HIGHBURY,Islingt,Greater London,INNER,Greater London,1910,LEASEHOLD,53,275,6.5,42,6.547619048
9,BRYANTWOOD ROAD,HIGHBURY,Islingt,Greater London,INNER,Greater London,1910,LEASEHOLD,52,210,6.5,40,5.25
20,HIGHBURY CRESCENT,HIGHBURY,Islingt,Greater London,INNER,Greater London,1910,FREEHOLD,999,980,,120,8.166666667
173,HIGHBURY NEW PARK,HIGHBURY,Islingt,Greater London,INNER,Greater London,1910,LEASEHOLD,40,320,15,,
102,HIGHBURY NEW PARK,HIGHBURY,Islingt,Greater London,INNER,Greater London,1910,LEASEHOLD,39,750,22.5,,
29,KELROSS ROAD,HIGHBURY,Islingt,Greater London,INNER,Greater London,1910,LEASEHOLD,78,450,8.5,52,8.653846154
9,SOTHEBY ROAD,HIGHBURY,Islingt,Greater London,INNER,Greater London,1910,LEASEHOLD,78,380,8.5,,
18,AMHWAY ROAD,HIGHBURY,Islingt,Greater London,INNER,Greater London,1910,LEASEHOLD,14,109,15,45,2.422222222
36,ELISHAM GARDENS,HIGHBURY,Islingt,Greater London,INNER,Greater London,1910,FREEHOLD,999,699,,110.6,6.320072333
37,ELIEMARK ROAD,HIGHBURY,Islingt,Greater London,INNER,Greater London,1910,LEASEHOLD,78,365,6.5,35,10.42857143
10,BINESWICK ROAD,HIGHBURY,Islingt,Greater London,INNER,Greater London,1910,LEASEHOLD,56,129,5,45.5,2.835164835
19,HEMPATEND LANE,HIGHBURY,Islingt,Greater London,INNER,Greater London,1910,FREEHOLD,999,829,,,
96,HORMEY LANE,HIGHBURY,Islingt,Greater London,INNER,Greater London,1910,FREEHOLD,999,800,,100,8
2,NORTH END,HIGHBURY,Islingt,Greater London,INNER,Greater London,1910,LEASEHOLD,46,320,10,,
62,TALHOS ROAD,HIGHBURY,Islingt,Greater London,INNER,Greater London,1910,LEASEHOLD,90,750,9,70,10.71428571
71,BALFOUR ROAD,HIGHBURY,Islingt,Greater London,INNER,Greater London,1900,LEASEHOLD,49,475,6.3,48,9.895833333
16,CONEWOOD STREET,HIGHBURY,Islingt,Greater London,INNER,Greater London,1900,FREEHOLD,999,420,,40,10.5
140,DRAYTON PARK,HIGHBURY,Islingt,Greater London,INNER,Greater London,1900,LEASEHOLD,76,365,6.5,36,10.13888889
51,ELWOOD STREET,HIGHBURY,Islingt,Greater London,INNER,Greater London,1900,FREEHOLD,999,560,,55,10.18181818
33,GROSVENOR ROAD,HIGHBURY,Islingt,Greater London,INNER,Greater London,1900,LEASEHOLD,49,550,8.4,60,9.166666667
20,HAMILTON ROAD,HIGHBURY,Islingt,Greater London,INNER,Greater London,1900,LEASEHOLD,47,415,7.35,38,10.92105263
3,HIGHBURY GRANGE,HIGHBURY,Islingt,Greater London,INNER,Greater London,1900,LEASEHOLD,18,560,0,100,5.6
34,HIGHBURY GROVE,HIGHBURY,Islingt,Greater London,INNER,Greater London,1900,LEASEHOLD,49,,10.25,140,
163,HIGHBURY NEW PARK,HIGHBURY,Islingt,Greater London,INNER,Greater London,1900,LEASEHOLD,49,,15,120,
169,HIGHBURY NEW PARK,HIGHBURY,Islingt,Greater London,INNER,Greater London,1900,LEASEHOLD,49,,15,,
17,HIGHBURY QUADRANT,HIGHBURY,Islingt,Greater London,INNER,Greater London,1900,LEASEHOLD,49,,18.9,,
87,HIGHBURY QUADRANT,HIGHBURY,Islingt,Greater London,INNER,Greater London,1900,LEASEHOLD,50,540,7.5,50,10.8
105,HIGHBURY QUADRANT,HIGHBURY,Islingt,Greater London,INNER,Greater London,1900,LEASEHOLD,49,570,13.65,,
109,HIGHBURY QUADRANT,HIGHBURY,Islingt,Greater London,INNER,Greater London,1900,LEASEHOLD,50,740,13.65,,
111,HIGHBURY QUADRANT,HIGHBURY,Islingt,Greater London,INNER,Greater London,1900,LEASEHOLD,49,600,13.65,,
41,LEIGH ROAD,HIGHBURY,Islingt,Greater London,INNER,Greater London,1900,LEASEHOLD,58,565,10,50,11.3
49,RONALDS ROAD,HIGHBURY,Islingt,Greater London,INNER,Greater London,1900,LEASEHOLD,85,415,7.083333333,48,8.645833333
8,ABERDEEN ROAD,HIGHBURY,Islingt,Greater London,INNER,Greater London,1908,LEASEHOLD,50,500,0,45,11.11111111
95,BALFOUR ROAD,HIGHBURY,Islingt,Greater London,INNER,Greater London,1908,LEASEHOLD,41,350,6.3,50,7
83,GILLESPIE ROAD,HIGHBURY,Islingt,Greater London,INNER,Greater London,1908,FREEHOLD,999,420,,40,10.5
1,HIGHBURY GROVE,HIGHBURY,Islingt,Greater London,INNER,Greater London,1908,FREEHOLD,999,1250,,,
25,HIGHBURY GROVE,HIGHBURY,Islingt,Greater London,INNER,Greater London,1908,LEASEHOLD,34,170,30,,
8,HIGHBURY HILL,HIGHBURY,Islingt,Greater London,INNER,Greater London,1908,FREEHOLD,999,1100,,90,12.22222222
13,DRAYTON PARK,HIGHBURY,Islingt,Greater London,INNER,Greater London,1909,FREEHOLD,999,,,381.55,
13,GRANGE ROAD,HIGHBURY,Islingt,Greater London,INNER,Greater London,1909,LEASEHOLD,27,325,9.45,53,6.132075472
66,HIGHBURY GROVE,HIGHBURY,Islingt,Greater London,INNER,Greater London,1909,FREEHOLD,999,,,,
4,HIGHBURY HILL,HIGHBURY,Islingt,Greater London,INNER,Greater London,1909,LEASEHOLD,48,600,10,,
54,HIGHBURY NEW PARK,HIGHBURY,Islingt,Greater London,INNER,Greater London,1909,LEASEHOLD,40,450,15,80,5.625
67,HIGHBURY NEW PARK,HIGHBURY,Islingt,Greater London,INNER,Greater London,1909,LEASEHOLD,40,555,15,,
17,LIBERIA ROAD,HIGHBURY,Islingt,Greater London,INNER,Greater London,1909,LEASEHOLD,76,370,7,42,8.80952381
43,RIVERSDALE ROAD,HIGHBURY,Islingt,Greater London,INNER,Greater London,1909,LEASEHOLD,64,295,7,49,6.020408163
90,RIVERSDALE ROAD,HIGHBURY,Islingt,Greater London,INNER,Greater London,1909,LEASEHOLD,61,250,8,33,7.575757576
34,BRYANTWOOD ROAD,HIGHBURY,Islingt,Greater London,INNER,Greater London,1911,LEASEHOLD,52,270,7,38,7.105263158
24,HIGHBURY PLACE,HIGHBURY,Islingt,Greater London,INNER,Greater London,1911,FREEHOLD,999,,,,
77,HIGHBURY QUADRANT,HIGHBURY,Islingt,Greater London,INNER,Greater London,1911,LEASEHOLD,38,210,7.5,,
5,LUCERNE ROAD,HIGHBURY,Islingt,Greater London,INNER,Greater London,1911,LEASEHOLD,70,360,8,42,8.571428571
27,AUBERT PARK,HIGHBURY,Islingt,Greater London,INNER,Greater London,1912,LEASEHOLD,48,350,10,54,6.481481482
33,HIGHBURY HILL,HIGHBURY,Islingt,Greater London,INNER,Greater London,1912,FREEHOLD,999,,,90,
27,HIGHBURY NEW PARK,HIGHBURY,Islingt,Greater London,INNER,Greater London,1912,LEASEHOLD,37,260,15.75,85,3.058823529
25,HIGHBURY QUADRANT,HIGHBURY,Islingt,Greater London,INNER,Greater London,1912,LEASEHOLD,37,350,17.85,,
12,HIGHBURY TERRACE,HIGHBURY,Islingt,Greater London,INNER,Greater London,1912,FREEHOLD,999,600,,,
47,LEIGH ROAD,HIGHBURY,Islingt,Greater London,INNER,Greater London,1912,LEASEHOLD,46,285,12,55,5.181818182
14,ROSELEIGH AVENUE,HIGHBURY,Islingt,Greater London,INNER,Greater London,1912,LEASEHOLD,67,225,8.4,40,5.625
128,CANONBURY ROAD,HIGHBURY,Islingt,Greater London,INNER,Greater London,1913,LEASEHOLD,69,495,10,55,9
13,FURLONG ROAD,HIGHBURY,Islingt,Greater London,INNER,Greater London,1913,LEASEHOLD,20,215,6,,
113,HIGHBURY QUADRANT,HIGHBURY,Islingt,Greater London,INNER,Greater London,1913,LEASEHOLD,37,325,15,,
18,HIGHBURY TERRACE,HIGHBURY,Islingt,Greater London,INNER,Greater London,1913,FREEHOLD,999,900,,80,11.25
42,HORSELL ROAD,HIGHBURY,Islingt,Greater London,INNER,Greater London,1913,LEASEHOLD,73,220,7.75,38,5.789473684
21,LECONFIELD ROAD,HIGHBURY,Islingt,Greater London,INNER,Greater London,1913,LEASEHOLD,36,160,5.5,32,5
53,LEIGH ROAD,HIGHBURY,Islingt,Greater London,INNER,Greater London,1913,LEASEHOLD,46,270,10,55,4.909090909
28,NORTHOLME ROAD,HIGHBURY,Islingt,Greater London,INNER,Greater London,1913,LEASEHOLD,79,380,7.5,48,7.916666667
77,RIVERSDALE ROAD,HIGHBURY,Islingt,Greater London,INNER,Greater London,1913,LEASEHOLD,57,200,6.5,36,5.555555556
133,RIVERSDALE ROAD,HIGHBURY,Islingt,Greater London,INNER,Greater London,1913,LEASEHOLD,57,235,7,36,6.527777778
6,BRYANTWOOD ROAD,HIGHBURY,Islingt,Greater London,INNER,Greater London,1914,FREEHOLD,999,470,,42,11.19047619
96,DRAYTON PARK,HIGHBURY,Islingt,Greater London,INNER,Greater London,1914,LEASEHOLD,62,240,8,36,6.666666667
31,HIGHBURY GROVE,HIGHBURY,Islingt,Greater London,INNER,Greater London,1914,LEASEHOLD,28,75,30,65,1.153846154
126,HIGHBURY NEW PARK,HIGHBURY,Islingt,Greater London,INNER,Greater London,1914,LEASEHOLD,35,400,12.6,80,5
58,HIGHBURY NEW PARK,HIGHBURY,Islingt,Greater London,INNER,Greater London,1914,LEASEHOLD,36,345,15.2,70,4.928571429
125a,HIGHBURY NEW PARK,HIGHBURY,Islingt,Greater London,INNER,Greater London,1914,LEASEHOLD,35,350,12,,
154,HIGHBURY NEW PARK,HIGHBURY,Islingt,Greater London,INNER,Greater London,1914,LEASEHOLD,35,475,19,,
5,MARTINEAU ROAD,HIGHBURY,Islingt,Greater London,INNER,Greater London,1914,LEASEHOLD,60,250,8.4,46,5.434782609
61,RIVERSDALE ROAD,HIGHBURY,Islingt,Greater London,INNER,Greater London,1914,LEASEHOLD,56,250,6.5,58.5,4.273504274
29,ST. MARY'S RAD,HIGHBURY,Islingt,Greater London,INNER,Greater London,1914,LEASEHOLD,31,375,0,60,6.25
212,ST. PAUL'S ROAD,HIGHBURY,Islingt,Greater London,INNER,Greater London,1914,LEASEHOLD,38,275,8.4,50,5.5
106,DARTMOUTH PARK HILL,HIGHGATE,Camden,Greater London,INNER,Greater London,1895,LEASEHOLD,82,315,7,,
32,SALISBURY ROAD,HIGHGATE,Camden,Greater London,INNER,Greater London,1895,LEASEHOLD,49,190,,30,6.333333333
54,NORTH HILL,HIGHGATE,Camden,Greater London,INNER,Greater London,1896,FREEHOLD,999,800,,80,10
11,NORTHWOOD ROAD,HIGHGATE,Camden,Greater London,INNER,Greater London,1896,LEASEHOLD,86,285,9.45,,
24,NORTH HILL,HIGHGATE,Camden,Greater London,INNER,Greater London,1897,COPYHOLD,,215,,18,11.94444444
121,NORTH HILL,HIGHGATE,Camden,Greater London,INNER,Greater London,1897,FREEHOLD,999,805,,,
9,RETCAR STREET,HIGHGATE,Camden,Greater London,INNER,Greater London,1897,LEASEHOLD,83,375,6,42,8.928571429
15,SOUTHWOOD AVENUE,HIGHGATE,Camden,Greater London,INNER,Greater London,1897,LEASEHOLD,96,750,9.45,55,13.63636364
7,BISHOP'S ROAD,HIGHGATE,Camden,Greater London,INNER,Greater London,1898,LEASEHOLD,75,560,10.5,55,10.18181818
44,HIGH STREET,HIGHGATE,Camden,Greater London,INNER,Greater London,1898,FREEHOLD,999,610,,40,15.25
61,HIGH STREET,HIGHGATE,Camden,Greater London,INNER,Greater London,1898,LEASEHOLD,15,90,7,18,5
44,NORTH HILL,HIGHGATE,Camden,Greater London,INNER,Greater London,1898,FREEHOLD,999,460,,27,17.03703704
37,NORTH ROAD,HIGHGATE,Camden,Greater London,INNER,Greater London,1898,FREEHOLD,999,570,,28,20.35714286
21,ONSLOW GARDENS,HIGHGATE,Camden,Greater London,INNER,Greater London,1898,LEASEHOLD,90,650,9.45,60,10.83333333
69,CLAREMONT ROAD,HIGHGATE,Camden,Greater London,INNER,Greater London,1899,LEASEHOLD,95,375,7,38,9.868421053
1,ORCHARD ROAD,HIGHGATE,Camden,Greater London,INNER,Greater London,1899,LEASEHOLD,80,270,5.25,30,9
7,ORCHARD ROAD,HIGHGATE,Camden,Greater London,INNER,Greater London,1899,LEASEHOLD,80,280,5.25,30,9.333333333
3,POND SQUARE,HIGHGATE,Camden,Greater London,INNER,Greater London,1899,COPYHOLD,,200,,15.6,12.82051282
69,WHITEHALL PARK,HIGHGATE,Camden,Greater London,INNER,Greater London,1899,FREEHOLD,999,1150,,60,19.16666667
14,WOOD LANE,HIGHGATE,Camden,Greater London,INNER,Greater London,1899,FREEHOLD,999,850,,35,24.28571429
33,WOODSOME ROAD,HIGHGATE,Camden,Greater London,INNER,Greater London,1899,LEASEHOLD,63,425,7,,
45,WOODSOME ROAD,HIGHGATE,Camden,Greater London,INNER,Greater London,1899,LEASEHOLD,63,430,7,40,10.75
34,CROMWELL AVENUE,HIGHGATE,Camden,Greater London,INNER,Greater London,1901,LEASEHOLD,69,435,9,42,10.35714286
49,CROMWELL AVENUE,HIGHGATE,Camden,Greater London,INNER,Greater London,1901,FREEHOLD,999,1050,,75,14
66,LANGDON ROAD,HIGHGATE,Camden,Greater London,INNER,Greater London,1901,LEASEHOLD,96,400,8,,
95,NORTH HILL,HIGHGATE,Camden,Greater London,INNER,Greater London,1901,COPYHOLD,,530,,30,17.66666667
58,RAYDON STREET,HIGHGATE,Camden,Greater London,INNER,Greater London,1901,LEASEHOLD,63,230,5.25,,
41,WOODSOME ROAD,HIGHGATE,Camden,Greater London,INNER,Greater London,1901,LEASEHOLD,60,450,7,42,10.71428571
14,WOODVIEW GARDENS,HIGHGATE,Camden,Greater London,INNER,Greater London,1901,LEASEHOLD,90,515,5,,
29,BLSMARCK ROAD,HIGHGATE,Camden,Greater London,INNER,Greater London,1902,LEASEHOLD,81,385,6.5,36,10.69444444
5,CHURCHILL ROAD,HIGHGATE,Camden,Greater London,INNER,Greater London,1903,LEASEHOLD,61,370,5,36,10.27777778
90,CROMWELL AVENUE,HIGHGATE,Camden,Greater London,INNER,Greater London,1903,LEASEHOLD,77,650,10.5,70,9.285714286
15,HIGH STREET,HIGHGATE,Camden,Greater London,INNER,Greater London,1903,LEASEHOLD,79,725,14,63,11.50793651
7,WHITEHALL PARK,HIGHGATE,Camden,Greater London,INNER,Greater London,1903,LEASEHOLD,84,800,9.45,,
59,HIGH STREET,HIGHGATE,Camden,Greater London,INNER,Greater London,1904,COPYHOLD,,530,,30,17.66666667
29,ARCHWAY ROAD,HIGHGATE,Camden,Greater London,INNER,Greater London,1905,LEASEHOLD,89,700,12,65,10.76923077
19,BURGHLEY ROAD,HIGHGATE,Camden,Greater London,INNER,Greater London,1905,LEASEHOLD,58,500,8.4,52,9.615384615
81,HARBERTON ROAD,HIGHGATE,Camden,Greater London,INNER,Greater London,1905,LEASEHOLD,83,380,6.5,45,8.444444444
11,LANDSDOWNE TERRACE,HIGHGATE,Camden,Greater London,INNER,Greater London,1905,LEASEHOLD,70,310,5.5,39,7.948717949
8,LIDYARD ROAD,HIGHGATE,Camden,Greater London,INNER,Greater London,1905,FREEHOLD,999,490,,34,14.41176471
59,NORTH HILL,HIGHGATE,Camden,Greater London,INNER,Greater London,1905,COPYHOLD,,785,,65,12.07692308
11,RETCAR STREET,HIGHGATE,Camden,Greater London,INNER,Greater London,1905,LEASEHOLD,74,190,5,36.4,5.21978022
7,HARBERTON ROAD,HIGHGATE,Camden,Greater London,INNER,Greater London,1906,LEASEHOLD,81,350,7,42,8.333333333
4,NORTHWOOD ROAD,HIGHGATE,Camden,Greater London,INNER,Greater London,1906,FREEHOLD,999,460,,38,12.10526316
58,RAYDON STREET,HIGHGATE,Camden,Greater London,INNER,Greater London,1906,LEASEHOLD,58,205,5.25,25.5,8.039215686
71,"WHITEHALL PARK, ""THE NEUK""",HIGHGATE,Camden,Greater London,INNER,Greater London,1906,LEASEHOLD,,1110,,89,12.47191011
12,WHITEHALL PARK,HIGHGATE,Camden,Greater London,INNER,Greater London,1906,LEASEHOLD,82,530,7.5,48,11.04166667
37,BRAMSHILL GARDENS,HIGHGATE,Camden,Greater London,INNER,Greater London,1907,LEASEHOLD,77,400,7,42,9.523809524
53,CHETWYND ROAD,HIGHGATE,Camden,Greater London,INNER,Greater London,1907,LEASEHOLD,66,390,7.35,42,9.285714286
27,DARTMOUTH PARK AVENUE,HIGHGATE,Camden,Greater London,INNER,Greater London,1907,LEASEHOLD,60,555,8,60,9.25
26,DARTMOUTH PARK AVENUE,HIGHGATE,Camden,Greater London,INNER,Greater London,1907,LEASEHOLD,60,540,8,65,8.307692308
3,"ESTELLE ROAD, GOSPEL OAK",HIGHGATE,Camden,Greater London,INNER,Greater London,1907,LEASEHOLD,60,585,5.25,50,11.7
32,HOLMESDALE ROAD,HIGHGATE,Camden,Greater London,INNER,Greater London,1907,FREEHOLD,999,390,,28,13.92857143
23,"LISMORE ROAD, GOSPEL OAK",HIGHGATE,Camden,Greater London,INNER,Greater London,1907,,,275,7,38,7.236842105
35,NORTH HILL,HIGHGATE,Camden,Greater London,INNER,Greater London,1907,FREEHOLD,999,700,,45,15.55555556
36,NORTH HILL,HIGHGATE,Camden,Greater London,INNER,Greater London,1907,LEASEHOLD,,100,6,55,1.818181818
12,NORTH ROAD,HIGHGATE,Camden,Greater London,INNER,Greater London,1907,LEASEHOLD,27,275,10.5,45,6.111111111
16,NORTH ROAD,HIGHGATE,Camden,Greater London,INNER,Greater London,1907,LEASEHOLD,26,560,6,90,6.222222222
9,WOOD LANE,HIGHGATE,Camden,Greater London,INNER,Greater London,1907,LEASEHOLD,58,360,7.5,45,8
67,CROMWELL AVENUE,HIGHGATE,Camden,Greater London,INNER,Greater London,1900,LEASEHOLD,81,640,10.5,66,9.696969697
32,HIGHGATE ROAD,HIGHGATE,Camden,Greater London,INNER,Greater London,1900,LEASEHOLD,59,495,7,48,10.3125
3,ONSLOW GARDENS,HIGHGATE,Camden,Greater London,INNER,Greater London,1900,LEASEHOLD,88,640,9.45,60,10.66666667
2,SOUTH GROVE,HIGHGATE,Camden,Greater London,INNER,Greater London,1900,FREEHOLD,999,550,,38,14.47368421
3,BEACON ROAD,HIGHGATE,Camden,Greater London,INNER,Greater London,1900,FREEHOLD,999,770,,50,15.4
7,WEST VIEW,HIGHGATE,Camden,Greater London,INNER,Greater London,1911,LEASEHOLD,73,550,8.4,55,10
3,WOODSOME ROAD,HIGHGATE,Camden,Greater London,INNER,Greater London,1911,LEASEHOLD,51,400,6.5,40,10
500,ARCHWAY ROAD,HIGHGATE,Camden,Greater London,INNER,Greater London,1912,LEASEHOLD,63,170,5.5,41.6,4.086538462
14,CHESTER ROAD,HIGHGATE,Camden,Greater London,INNER,Greater London,1912,FREEHOLD,999,500,,35,14.28571429
29,CHOLMELEY PARK,HIGHGATE,Camden,Greater London,INNER,Greater London,1912,LEASEHOLD,95,850,12,85,10
42,CHOLMELEY PARK,HIGHGATE,Camden,Greater London,INNER,Greater London,1912,LEASEHOLD,97,800,12,75,10.66666667
2,HARBERTON ROAD,HIGHGATE,Camden,Greater London,INNER,Greater London,1912,LEASEHOLD,75,350,7.35,42,8.333333333
50,HIGH STREET,HIGHGATE,Camden,Greater London,INNER,Greater London,1912,FREEHOLD,999,,,60,
55,HOLMESDALE ROAD,HIGHGATE,Camden,Greater London,INNER,Greater London,1912,LEASEHOLD,66,230,6,34,6.764705882
2,SOUTH GROVE,HIGHGATE,Camden,Greater London,INNER,Greater London,1912,FREEHOLD,999,360,,52,6.923076923
