street_number,actual_street_name,Suburb,lprice_diff,lrents_diff,lgroundrents_diff,d_1895,d_1896,d_1897,d_1898,d_1899,d_1900,d_1901,d_1902,d_1903,d_1904,d_1905,d_1906,d_1907,d_1908,d_1909,d_1910,d_1911,d_1912,d_1913,d_1914
35,HAMILTON TERRACE,ST. JOHN'S WOOD,0.543615447,0.262364265,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
49,DENNIS STREET,KING'S CROSS,-0.167054085,0,,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
88,WEYMOUTH TERRACE,HACKNEY,-0.191891008,0,,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
95,STOCKWELL ROAD,STOCKWELL,0.223143551,0.171850257,,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
162,RICHMOND ROAD,DALSTON,-0.082238098,,-1.078809661,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11,CHEYNE ROW,CHELSEA,-0.245122458,0.100083459,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
13,ABERDEEN PLACE,MAIDA VALE,-0.612178118,-0.039220713,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
216,LANCASTER ROAD,NOTTING HILL,-0.182321557,0.619039208,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
34,DELAFORD STREET,FULHAM,0.177681177,,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
36,WEYMOUTH TERRACE,HACKNEY,-0.022989518,0.144581229,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
71,ABBEYFIELD ROAD,ROTHERHITHE,-0.051293294,0.068992872,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
176,RAILTON ROAD,HERNE HILL,0.117783036,,0.031252544,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
242,MILE END ROAD,MILE END,-0.405465108,,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
30,HERBERT STREET,HOXTON,-0.565313809,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
40,PENN STREET,HOXTON,-0.630626824,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
189,COLDHARBOUR LANE,CAMBERWELL,0.413562318,0,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
189,COLDHARBOUR LANE,CAMBERWELL,-0.047252885,0,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
284,ESSEX ROAD,ISLINGTON,-1.773067336,-0.16907633,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
